APPROX_DATE,Frequency,SOURCE,Frequency,SEX,Frequency,BIRTH_DATE,Frequency,AGE_AT_TEST,Frequency,AGE_GROUP,Frequency,IS_PEDIATRIC,Frequency,HEIGHT_BEST,Frequency,HEIGHT_CLEAN,Frequency,HEIGHT_FLAG,Frequency,WEIGHT_MEDIAN,Frequency,WEIGHT_LATEST,Frequency,WEIGHT_CLEAN,Frequency,WEIGHT_FLAG,Frequency,FEV1_BEST,Frequency,FVC_BEST,Frequency,FEV1_FVC_RATIO,Frequency,FEV1_MAX,Frequency,FVC_MAX,Frequency,MEASUREMENT_TYPE,Frequency,FEV1_POST,Frequency,FVC_POST,Frequency,FEV1_FVC_POST,Frequency,FEV1_CHANGE_L,Frequency,FEV1_CHANGE_PCT,Frequency,FVC_CHANGE_L,Frequency,FVC_CHANGE_PCT,Frequency,SIGNIFICANT_RESPONSE,Frequency,OBSTRUCTION,Frequency
,,,,,,,,,,,,,,185.5,55,,,,,45.0,198,75.5,125,77.5,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,170.75,54,,,,,92.5,198,128.0,124,84.5,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,169.25,51,,,,,94.5,196,63.5,123,59.5,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,List truncated...,,,,,,95.5,187,85.5,122,87.5,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,58.5,183,60.5,122,42.0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,89.5,180,77.5,119,83.5,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,121.0,179,78.5,118,79.5,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,98.5,175,135.0,118,86.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,125.0,175,67.5,116,73.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,47.0,175,74.5,116,78.5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,117.0,175,84.5,115,58.5,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,59.5,171,58.5,115,129.0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,91.5,169,83.5,114,76.5,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,60.5,168,42.0,110,66.5,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,119.0,158,67.8,107,131.0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,130.0,150,76.5,107,85.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,96.5,146,61.5,104,81.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,97.5,146,95.5,102,61.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,99.5,144,43.0,97,69.5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,55.5,140,89.5,93,80.5,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,44.0,136,63.8,93,132.0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,57.5,134,129.0,93,150.0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,103.5,133,65.8,92,67.5,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,102.5,132,91.5,90,88.5,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,46.0,132,87.4,87,133.0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,54.5,129,90.5,86,40.0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,128.0,128,150.0,84,41.0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,123.0,126,131.0,84,92.5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,93.5,125,88.5,83,89.5,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,122.0,124,86.5,83,91.5,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,53.5,114,98.5,82,90.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,101.5,113,59.8,82,60.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
