SOURCE	CODE1	CODE2	CODE3	VOCAB	n_events	n_patients
INPAT	2223A	NA	NA	9	12	12
INPAT	22280	NA	NA	8	6	6
INPAT	22288	NA	NA	8	9	9
INPAT	22300	NA	NA	8	12	12
INPAT	2230A	NA	NA	9	26	22
INPAT	22330	NA	NA	8	32	14
INPAT	2233A	NA	NA	9	43	19
INPAT	22388	NA	NA	8	12	12
INPAT	22400	NA	NA	8	62	50
INPAT	22405	NA	NA	8	13	10
INPAT	2241A	NA	NA	9	14	12
INPAT	2243A	NA	NA	9	21	21
INPAT	22500	NA	NA	8	59	37
INPAT	2250A	NA	NA	9	73	31
INPAT	22510	NA	NA	8	61	27
INPAT	2251A	NA	NA	9	94	51
INPAT	22520	NA	NA	8	57	37
INPAT	2252A	NA	NA	9	134	74
INPAT	22530	NA	NA	8	19	9
INPAT	2253A	NA	NA	9	10	7
INPAT	2254A	NA	NA	9	17	10
INPAT	22550	NA	NA	8	77	64
INPAT	2258X	NA	NA	9	39	29
INPAT	2259X	NA	NA	9	12	12
INPAT	2260A	NA	NA	9	122	120
INPAT	22620	NA	NA	8	81	26
INPAT	22680	NA	NA	8	20	19
INPAT	22700	NA	NA	8	211	135
INPAT	22701	NA	NA	8	36	24
INPAT	2270A	NA	NA	9	26	9
INPAT	2271A	NA	NA	9	14	11
INPAT	2273A	NA	NA	9	183	66
INPAT	2280A	NA	NA	9	197	109
INPAT	2281A	NA	NA	9	28	14
INPAT	22899	NA	NA	8	74	65
INPAT	23000	NA	NA	8	13	11
INPAT	23010	NA	NA	8	9	6
INPAT	23030	NA	NA	8	13	11
INPAT	23033	NA	NA	8	17	16
